corner_id,m,n,dm,dn
1644,3,4,2,3
1659,3,4,2,3
1689,3,4,2,3
1716,3,4,2,3
1751,3,4,2,3
1791,3,4,2,3
1829,3,4,2,3
1880,3,4,2,3
1922,3,4,2,3
1986,3,4,2,3
2032,3,4,2,3
2107,3,4,2,3
2157,3,4,2,3
2245,3,4,2,3
2300,3,4,2,3
2400,3,4,2,3
2458,3,4,2,3
2604,2,3,1,2
2605,3,2,4,3
2605,3,16,2,12
2606,9,5,7,4
2606,7,18,6,16
2623,2,3,1,2
2624,3,2,4,3
2624,3,16,2,12
2625,9,5,7,4
2625,7,18,6,16
2675,2,3,1,2
2676,3,2,4,3
2676,3,16,2,12
2677,9,5,7,4
2677,7,18,6,16
2714,2,3,1,2
2715,3,2,4,3
2715,3,16,2,12
2716,9,5,7,4
2716,7,18,6,16
2764,2,3,1,2
2765,3,2,4,3
2765,3,16,2,12
2766,9,5,7,4
2766,7,18,6,16
2797,2,3,1,2
2798,3,2,4,3
2798,3,16,2,12
2799,9,5,7,4
2799,7,18,6,16
2853,2,3,1,2
2854,3,2,4,3
2854,3,16,2,12
2855,9,5,7,4
2855,7,18,6,16
2911,2,3,1,2
2912,3,2,4,3
2912,3,16,2,12
2913,9,5,7,4
2913,7,18,6,16
2986,2,3,1,2
2987,3,2,4,3
2987,3,16,2,12
2988,9,5,7,4
2988,7,18,6,16
3037,2,3,1,2
3038,3,2,4,3
3038,3,16,2,12
3039,9,5,7,4
3039,7,18,6,16
3086,2,3,1,2
3087,3,2,4,3
3087,3,16,2,12
3088,9,5,7,4
3088,7,18,6,16
3180,2,3,1,2
3181,3,2,4,3
3181,3,16,2,12
3182,9,5,7,4
3182,7,18,6,16
3245,2,3,1,2
3246,3,2,4,3
3246,3,16,2,12
3247,9,5,7,4
3247,7,18,6,16
3352,2,7,1,4
3353,3,7,2,5
3369,2,7,1,4
3370,3,7,2,5
3429,2,7,1,4
3430,3,7,2,5
3470,2,7,1,4
3471,3,7,2,5
3500,3,4,2,3
3539,2,7,1,4
3540,3,7,2,5
3603,2,7,1,4
3604,3,7,2,5
3667,2,7,1,4
3668,3,7,2,5
3700,3,4,2,3
3782,2,7,1,4
3783,3,7,2,5
3850,2,7,1,4
3851,3,7,2,5
3937,2,7,1,4
3938,3,7,2,5
3985,3,4,2,3
3991,2,3,1,2
3992,3,2,4,3
3992,3,16,2,12
3993,9,5,7,4
3993,7,18,6,16
4003,3,4,2,3
4016,4,5,3,4
4017,17,6,14,5
4017,11,12,18,20
4017,5,18,12,45
4017,13,48,12,45
4019,5,2,2,1
4019,3,4,2,4
4020,5,3,3,2
4020,3,10,2,8
4022,5,3,3,2
4022,3,10,2,8
4023,3,2,1,1
4024,13,2,6,1
4024,11,4,10,4
4024,5,3,12,9
4024,13,9,12,9
4024,7,8,12,16
4024,13,16,12,16
4024,3,5,10,25
4024,7,15,10,25
4024,9,20,10,25
4024,11,25,10,25
4024,5,24,6,36
4024,7,36,6,36
4025,5,2,2,1
4025,3,4,2,4
4070,4,5,3,4
4071,17,6,14,5
4071,11,12,18,20
4071,5,18,12,45
4071,13,48,12,45
4076,3,4,2,3
4080,5,2,2,1
4080,3,4,2,4
4081,5,3,3,2
4081,3,10,2,8
4083,5,3,3,2
4083,3,10,2,8
4084,3,2,1,1
4085,13,2,6,1
4085,11,4,10,4
4085,5,3,12,9
4085,13,9,12,9
4085,7,8,12,16
4085,13,16,12,16
4085,3,5,10,25
4085,7,15,10,25
4085,9,20,10,25
4085,11,25,10,25
4085,5,24,6,36
4085,7,36,6,36
4086,5,2,2,1
4086,3,4,2,4
4145,2,7,1,4
4146,3,7,2,5
4217,2,7,1,4
4218,3,7,2,5
4262,4,5,3,4
4263,17,6,14,5
4263,11,12,18,20
4263,5,18,12,45
4263,13,48,12,45
4336,2,7,1,4
4337,3,7,2,5
4381,4,5,3,4
4382,17,6,14,5
4382,11,12,18,20
4382,5,18,12,45
4382,13,48,12,45
4408,3,4,2,3
4414,2,3,1,2
4415,3,2,4,3
4415,3,16,2,12
4416,9,5,7,4
4416,7,18,6,16
4421,3,4,2,3
4425,5,2,2,1
4425,3,4,2,4
4426,5,3,3,2
4426,3,10,2,8
4428,5,3,3,2
4428,3,10,2,8
4429,3,2,1,1
4430,13,2,6,1
4430,11,4,10,4
4430,5,3,12,9
4430,13,9,12,9
4430,7,8,12,16
4430,13,16,12,16
4430,3,5,10,25
4430,7,15,10,25
4430,9,20,10,25
4430,11,25,10,25
4430,5,24,6,36
4430,7,36,6,36
4431,5,2,2,1
4431,3,4,2,4
4510,4,5,3,4
4511,17,6,14,5
4511,11,12,18,20
4511,5,18,12,45
4511,13,48,12,45
4516,3,4,2,3
4520,5,2,2,1
4520,3,4,2,4
4521,5,3,3,2
4521,3,10,2,8
4523,5,3,3,2
4523,3,10,2,8
4524,3,2,1,1
4525,13,2,6,1
4525,11,4,10,4
4525,5,3,12,9
4525,13,9,12,9
4525,7,8,12,16
4525,13,16,12,16
4525,3,5,10,25
4525,7,15,10,25
4525,9,20,10,25
4525,11,25,10,25
4525,5,24,6,36
4525,7,36,6,36
4526,5,2,2,1
4526,3,4,2,4
4590,2,7,1,4
4591,3,7,2,5
4667,2,7,1,4
4668,3,7,2,5
4712,4,5,3,4
4713,17,6,14,5
4713,11,12,18,20
4713,5,18,12,45
4713,13,48,12,45
4806,2,7,1,4
4807,3,7,2,5
4851,4,5,3,4
4852,17,6,14,5
4852,11,12,18,20
4852,5,18,12,45
4852,13,48,12,45
4890,3,4,2,3
4896,2,3,1,2
4897,3,2,4,3
4897,3,16,2,12
4898,9,5,7,4
4898,7,18,6,16
4903,3,4,2,3
4907,5,2,2,1
4907,3,4,2,4
4908,5,3,3,2
4908,3,10,2,8
4910,5,3,3,2
4910,3,10,2,8
4911,3,2,1,1
4912,13,2,6,1
4912,11,4,10,4
4912,5,3,12,9
4912,13,9,12,9
4912,7,8,12,16
4912,13,16,12,16
4912,3,5,10,25
4912,7,15,10,25
4912,9,20,10,25
4912,11,25,10,25
4912,5,24,6,36
4912,7,36,6,36
4913,5,2,2,1
4913,3,4,2,4
5028,2,3,1,2
5029,7,4,5,3
5029,2,5,1,3
5056,2,3,1,2
5057,7,4,5,3
5057,2,5,1,3
5101,2,3,1,2
5102,7,4,5,3
5102,2,5,1,3
5130,2,3,1,2
5131,7,4,5,3
5131,2,5,1,3
5156,2,3,1,2
5157,7,4,5,3
5157,2,5,1,3
5219,2,3,1,2
5220,7,4,5,3
5220,2,5,1,3
5277,2,3,1,2
5278,7,4,5,3
5278,2,5,1,3
5306,2,5,1,3
5307,2,7,1,4
5308,9,4,11,5
5308,2,3,3,5
5308,2,27,3,45
5308,4,57,3,45
5309,3,4,2,3
5310,3,4,2,3
5311,3,4,2,3
5312,3,2,4,3
5312,3,16,2,12
5316,3,2,4,3
5316,3,16,2,12
5345,2,5,1,3
5346,2,7,1,4
5347,9,4,11,5
5347,2,3,3,5
5347,2,27,3,45
5347,4,57,3,45
5396,2,3,1,2
5397,7,4,5,3
5397,2,5,1,3
5446,2,3,1,2
5447,7,4,5,3
5447,2,5,1,3
5468,2,5,1,3
5469,2,7,1,4
5470,9,4,11,5
5470,2,3,3,5
5470,2,27,3,45
5470,4,57,3,45
5501,2,3,1,2
5502,7,4,5,3
5502,2,5,1,3
5523,2,5,1,3
5524,2,7,1,4
5525,9,4,11,5
5525,2,3,3,5
5525,2,27,3,45
5525,4,57,3,45
5556,2,3,1,2
5557,7,4,5,3
5557,2,5,1,3
5578,2,5,1,3
5579,2,7,1,4
5580,9,4,11,5
5580,2,3,3,5
5580,2,27,3,45
5580,4,57,3,45
5615,2,3,1,2
5616,7,4,5,3
5616,2,5,1,3
5637,2,5,1,3
5638,2,7,1,4
5639,9,4,11,5
5639,2,3,3,5
5639,2,27,3,45
5639,4,57,3,45
5661,3,4,2,3
5662,3,4,2,3
5663,3,4,2,3
5664,3,2,4,3
5664,3,16,2,12
5668,3,2,4,3
5668,3,16,2,12
5680,2,3,1,2
5681,3,2,4,3
5681,3,16,2,12
5682,9,5,7,4
5682,7,18,6,16
5683,5,2,2,1
5683,3,4,2,4
5684,5,2,2,1
5684,3,4,2,4
5693,2,3,1,2
5694,3,2,4,3
5694,3,16,2,12
5695,9,5,7,4
5695,7,18,6,16
5706,5,3,3,2
5706,3,10,2,8
5707,11,4,8,3
5707,7,8,10,12
5707,5,21,6,27
5707,7,30,6,27
5708,10,3,13,4
5708,7,6,18,16
5708,4,9,15,36
5708,14,33,15,36
5708,3,44,4,64
5708,5,76,4,64
5709,11,3,18,5
5709,21,16,26,20
5709,5,9,24,45
5709,13,24,24,45
5709,5,32,12,80
5709,11,72,12,80
5710,27,7,23,6
5710,3,2,34,24
5710,2,3,33,54
5710,13,21,33,54
5710,11,52,20,96
5710,21,100,20,96
6055,3,7,2,5
6060,2,7,1,4
6061,3,4,2,3
6062,2,3,1,2
6094,3,4,2,3
6096,5,4,6,5
6096,3,28,2,20
6097,2,11,1,6
6098,3,2,10,7
6098,7,32,6,28
6099,2,3,1,2
6100,2,3,1,2
6102,9,2,4,1
6102,7,4,6,4
6102,5,6,6,9
6102,7,9,6,9
