id,parent_id,a,l,b,is_type_1,is_type_2
1,-1,1,1,2,0,0
2,-1,1,1,3,0,0
3,-1,1,1,4,0,0
4,-1,1,1,5,0,0
5,-1,1,1,6,0,0
6,-1,1,1,7,0,0
7,-1,1,1,8,0,0
8,-1,1,1,9,0,0
9,-1,1,1,10,0,0
10,-1,1,1,11,0,0
11,-1,1,1,12,0,0
12,-1,1,1,13,0,0
13,-1,1,1,14,0,0
14,-1,1,1,15,0,0
15,-1,1,1,16,0,0
16,-1,1,1,17,0,0
17,-1,1,1,18,0,0
18,-1,1,1,19,0,0
19,-1,1,1,20,0,0
20,-1,1,1,21,0,0
21,-1,1,1,22,0,0
22,-1,1,1,23,0,0
23,-1,1,1,24,0,0
24,-1,1,1,25,0,0
25,-1,1,1,26,0,0
26,-1,1,1,27,0,0
27,-1,1,1,28,0,0
28,-1,1,1,29,0,0
29,-1,1,1,30,0,0
30,-1,1,1,31,0,0
31,-1,1,1,32,0,0
32,-1,1,1,33,0,0
33,-1,1,1,34,0,0
34,-1,1,1,35,0,0
35,-1,1,1,36,0,0
36,-1,1,1,37,0,0
37,-1,1,1,38,0,0
38,-1,1,1,39,0,0
39,-1,1,1,40,0,0
40,-1,1,1,41,0,0
41,-1,1,1,42,0,0
42,-1,1,1,43,0,0
43,-1,1,1,44,0,0
44,-1,1,1,45,0,0
45,-1,1,1,46,0,0
46,-1,1,1,47,0,0
47,-1,1,1,48,0,0
48,-1,1,1,49,0,0
49,-1,2,1,3,0,0
50,-1,2,1,4,0,1
51,1,2,1,3,0,0
52,-1,2,1,5,0,0
53,-1,2,1,6,0,1
54,3,2,1,5,0,0
55,4,2,1,4,0,1
56,5,2,1,3,0,0
57,6,2,1,4,0,1
58,-1,2,1,7,0,0
59,-1,2,1,8,0,1
60,7,2,1,7,0,0
61,8,2,1,6,0,1
62,9,2,1,5,0,0
63,10,2,1,4,0,1
64,11,2,1,3,0,0
65,12,2,1,4,0,1
66,12,2,1,6,0,1
67,-1,2,1,9,0,0
68,-1,2,1,10,0,1
69,13,2,1,9,0,0
70,14,2,1,8,0,1
71,15,2,1,7,0,0
72,16,2,1,6,0,1
73,17,2,1,5,0,0
74,18,2,1,4,0,1
75,19,2,1,3,0,0
76,20,2,1,4,0,1
77,20,2,1,6,0,1
78,20,2,1,8,0,1
79,-1,2,1,11,0,0
80,-1,2,1,12,0,1
81,21,2,1,11,0,0
82,22,2,1,10,0,1
83,23,2,1,9,0,0
84,24,2,1,8,0,1
85,25,2,1,7,0,0
86,26,2,1,6,0,1
87,27,2,1,5,0,0
88,28,2,1,4,0,1
