id,corner_id,a,l,b,r,s,f1,f2,rho,sig
1,50,2,1,4,2,3,1,2,1,0
2,50,2,1,4,2,0,1,2,1,0
3,53,2,1,6,2,5,1,3,1,0
4,53,2,1,6,2,4,1,3,1,0
5,53,2,1,6,2,3,1,3,1,0
6,53,2,1,6,2,0,1,3,1,0
7,59,2,1,8,2,7,1,4,1,0
8,59,2,1,8,2,6,1,4,1,0
9,59,2,1,8,2,5,1,4,1,0
10,59,2,1,8,2,4,1,4,1,0
11,59,2,1,8,2,3,1,4,1,0
12,59,2,1,8,2,0,1,4,1,0
13,68,2,1,10,2,9,1,5,1,0
14,68,2,1,10,2,8,1,5,1,0
15,68,2,1,10,2,7,1,5,1,0
16,68,2,1,10,2,6,1,5,1,0
17,68,2,1,10,2,5,1,5,1,0
18,68,2,1,10,2,4,1,5,1,0
19,68,2,1,10,2,3,1,5,1,0
20,68,2,1,10,2,0,1,5,1,0
21,80,2,1,12,2,11,1,6,1,0
22,80,2,1,12,2,10,1,6,1,0
23,80,2,1,12,2,9,1,6,1,0
24,80,2,1,12,2,8,1,6,1,0
25,80,2,1,12,2,7,1,6,1,0
26,80,2,1,12,2,6,1,6,1,0
27,80,2,1,12,2,5,1,6,1,0
28,80,2,1,12,2,4,1,6,1,0
29,80,2,1,12,2,3,1,6,1,0
30,80,2,1,12,2,0,1,6,1,0
31,95,2,1,14,2,13,1,7,1,0
32,95,2,1,14,2,12,1,7,1,0
33,95,2,1,14,2,11,1,7,1,0
34,95,2,1,14,2,10,1,7,1,0
35,95,2,1,14,2,9,1,7,1,0
36,95,2,1,14,2,8,1,7,1,0
37,95,2,1,14,2,7,1,7,1,0
38,95,2,1,14,2,6,1,7,1,0
39,95,2,1,14,2,5,1,7,1,0
40,95,2,1,14,2,4,1,7,1,0
41,95,2,1,14,2,3,1,7,1,0
42,95,2,1,14,2,0,1,7,1,0
43,113,2,1,16,2,15,1,8,1,0
44,113,2,1,16,2,14,1,8,1,0
45,113,2,1,16,2,13,1,8,1,0
46,113,2,1,16,2,12,1,8,1,0
47,113,2,1,16,2,11,1,8,1,0
48,113,2,1,16,2,10,1,8,1,0
49,113,2,1,16,2,9,1,8,1,0
50,113,2,1,16,2,8,1,8,1,0
51,113,2,1,16,2,7,1,8,1,0
52,113,2,1,16,2,6,1,8,1,0
53,113,2,1,16,2,5,1,8,1,0
54,113,2,1,16,2,4,1,8,1,0
55,113,2,1,16,2,3,1,8,1,0
56,113,2,1,16,2,0,1,8,1,0
57,134,2,1,18,2,17,1,9,1,0
58,134,2,1,18,2,16,1,9,1,0
59,134,2,1,18,2,15,1,9,1,0
60,134,2,1,18,2,14,1,9,1,0
61,134,2,1,18,2,13,1,9,1,0
62,134,2,1,18,2,12,1,9,1,0
63,134,2,1,18,2,11,1,9,1,0
64,134,2,1,18,2,10,1,9,1,0
65,134,2,1,18,2,9,1,9,1,0
66,134,2,1,18,2,8,1,9,1,0
67,134,2,1,18,2,7,1,9,1,0
68,134,2,1,18,2,6,1,9,1,0
69,134,2,1,18,2,5,1,9,1,0
70,134,2,1,18,2,4,1,9,1,0
71,134,2,1,18,2,3,1,9,1,0
72,134,2,1,18,2,0,1,9,1,0
73,158,2,1,20,2,19,1,10,1,0
74,158,2,1,20,2,18,1,10,1,0
75,158,2,1,20,2,17,1,10,1,0
76,158,2,1,20,2,16,1,10,1,0
77,158,2,1,20,2,15,1,10,1,0
78,158,2,1,20,2,14,1,10,1,0
79,158,2,1,20,2,13,1,10,1,0
80,158,2,1,20,2,12,1,10,1,0
81,158,2,1,20,2,11,1,10,1,0
82,158,2,1,20,2,10,1,10,1,0
83,158,2,1,20,2,9,1,10,1,0
84,158,2,1,20,2,8,1,10,1,0
85,158,2,1,20,2,7,1,10,1,0
86,158,2,1,20,2,6,1,10,1,0
87,158,2,1,20,2,5,1,10,1,0
88,158,2,1,20,2,4,1,10,1,0
89,158,2,1,20,2,3,1,10,1,0
90,158,2,1,20,2,0,1,10,1,0
91,185,2,1,22,2,21,1,11,1,0
92,185,2,1,22,2,20,1,11,1,0
93,185,2,1,22,2,19,1,11,1,0
94,185,2,1,22,2,18,1,11,1,0
95,185,2,1,22,2,17,1,11,1,0
96,185,2,1,22,2,16,1,11,1,0
97,185,2,1,22,2,15,1,11,1,0
98,185,2,1,22,2,14,1,11,1,0
99,185,2,1,22,2,13,1,11,1,0
100,185,2,1,22,2,12,1,11,1,0
101,185,2,1,22,2,11,1,11,1,0
102,185,2,1,22,2,10,1,11,1,0
103,185,2,1,22,2,9,1,11,1,0
104,185,2,1,22,2,8,1,11,1,0
105,185,2,1,22,2,7,1,11,1,0
106,185,2,1,22,2,6,1,11,1,0
107,185,2,1,22,2,5,1,11,1,0
108,185,2,1,22,2,4,1,11,1,0
109,185,2,1,22,2,3,1,11,1,0
110,185,2,1,22,2,0,1,11,1,0
111,215,2,1,24,2,23,1,12,1,0
112,215,2,1,24,2,22,1,12,1,0
113,215,2,1,24,2,21,1,12,1,0
114,215,2,1,24,2,20,1,12,1,0
115,215,2,1,24,2,19,1,12,1,0
116,215,2,1,24,2,18,1,12,1,0
117,215,2,1,24,2,17,1,12,1,0
118,215,2,1,24,2,16,1,12,1,0
119,215,2,1,24,2,15,1,12,1,0
120,215,2,1,24,2,14,1,12,1,0
121,215,2,1,24,2,13,1,12,1,0
122,215,2,1,24,2,12,1,12,1,0
123,215,2,1,24,2,11,1,12,1,0
124,215,2,1,24,2,10,1,12,1,0
125,215,2,1,24,2,9,1,12,1,0
126,215,2,1,24,2,8,1,12,1,0
127,215,2,1,24,2,7,1,12,1,0
128,215,2,1,24,2,6,1,12,1,0
129,215,2,1,24,2,5,1,12,1,0
130,215,2,1,24,2,4,1,12,1,0
131,215,2,1,24,2,3,1,12,1,0
132,215,2,1,24,2,0,1,12,1,0
133,248,2,1,26,2,25,1,13,1,0
134,248,2,1,26,2,24,1,13,1,0
135,248,2,1,26,2,23,1,13,1,0
136,248,2,1,26,2,22,1,13,1,0
137,248,2,1,26,2,21,1,13,1,0
138,248,2,1,26,2,20,1,13,1,0
139,248,2,1,26,2,19,1,13,1,0
140,248,2,1,26,2,18,1,13,1,0
141,248,2,1,26,2,17,1,13,1,0
142,248,2,1,26,2,16,1,13,1,0
143,248,2,1,26,2,15,1,13,1,0
144,248,2,1,26,2,14,1,13,1,0
145,248,2,1,26,2,13,1,13,1,0
146,248,2,1,26,2,12,1,13,1,0
147,248,2,1,26,2,11,1,13,1,0
148,248,2,1,26,2,10,1,13,1,0
149,248,2,1,26,2,9,1,13,1,0
150,248,2,1,26,2,8,1,13,1,0
151,248,2,1,26,2,7,1,13,1,0
152,248,2,1,26,2,6,1,13,1,0
153,248,2,1,26,2,5,1,13,1,0
154,248,2,1,26,2,4,1,13,1,0
155,248,2,1,26,2,3,1,13,1,0
156,248,2,1,26,2,0,1,13,1,0
157,284,2,1,28,2,27,1,14,1,0
158,284,2,1,28,2,26,1,14,1,0
159,284,2,1,28,2,25,1,14,1,0
160,284,2,1,28,2,24,1,14,1,0
161,284,2,1,28,2,23,1,14,1,0
162,284,2,1,28,2,22,1,14,1,0
163,284,2,1,28,2,21,1,14,1,0
164,284,2,1,28,2,20,1,14,1,0
165,284,2,1,28,2,19,1,14,1,0
166,284,2,1,28,2,18,1,14,1,0
167,284,2,1,28,2,17,1,14,1,0
168,284,2,1,28,2,16,1,14,1,0
169,284,2,1,28,2,15,1,14,1,0
170,284,2,1,28,2,14,1,14,1,0
171,284,2,1,28,2,13,1,14,1,0
172,284,2,1,28,2,12,1,14,1,0
173,284,2,1,28,2,11,1,14,1,0
174,284,2,1,28,2,10,1,14,1,0
175,284,2,1,28,2,9,1,14,1,0
176,284,2,1,28,2,8,1,14,1,0
177,284,2,1,28,2,7,1,14,1,0
178,284,2,1,28,2,6,1,14,1,0
179,284,2,1,28,2,5,1,14,1,0
180,284,2,1,28,2,4,1,14,1,0
